ΚΩΔΙΚΟΣ ΛΥΚΕΙΟΥ,ΟΝΟΜΑΣΙΑ ΛΥΚΕΙΟΥ,ΤΥΠΟΣ,ΤΥΠΟΣ,ΚΩΔΙΚΟΣ ΔΔΕ,ΟΝΟΜΑΣΙΑ ΔΔΕ
501007,ΜΟΥΣΙΚΟ ΑΛΙΜΟΥ,0,ΗΜΕΡΗΣΙΟ,221,Δ' ΔΔΕ ΑΘΗΝΑΣ
551701,2ο ΓΕΛ Ν.ΗΡΑΚΛΕΙΟΥ,0,ΗΜΕΡΗΣΙΟ,213,3ο ΓΡ. Β' ΔΔΕ ΑΘΗΝΑΣ
551716,1ο ΓΕΛ ΠΕΥΚΗΣ,0,ΗΜΕΡΗΣΙΟ,1000,ΔΔΕ Β' ΑΘΗΝΑΣ
551717,ΓΕΛ ΛΥΚΟΒΡΥΣΗΣ,0,ΗΜΕΡΗΣΙΟ,213,3ο ΓΡ. Β' ΔΔΕ ΑΘΗΝΑΣ
551726,2ο ΓΕΛ ΠΕΥΚΗΣ,0,ΗΜΕΡΗΣΙΟ,1000,ΔΔΕ Β' ΑΘΗΝΑΣ
551730,1ο ΓΕΛ ΝΕΑΣ ΙΩΝΙΑΣ,0,ΗΜΕΡΗΣΙΟ,213,3ο ΓΡ. Β' ΔΔΕ ΑΘΗΝΑΣ
551740,2ο ΓΕΛ ΝΕΑΣ ΙΩΝΙΑΣ,0,ΗΜΕΡΗΣΙΟ,213,3ο ΓΡ. Β' ΔΔΕ ΑΘΗΝΑΣ
551750,ΕΣΠΕΡΙΝΟ Ν. ΙΩΝΙΑΣ,1,ΕΣΠΕΡΙΝΟ,213,3ο ΓΡ. Β' ΔΔΕ ΑΘΗΝΑΣ
551752,1ο ΓΕΛ ΜΕΤΑΜΟΡΦΩΣΗΣ  ,0,ΗΜΕΡΗΣΙΟ,213,3ο ΓΡ. Β' ΔΔΕ ΑΘΗΝΑΣ
551755,4ο ΓΕΛ ΝΕΑΣ ΙΩΝΙΑΣ,0,ΗΜΕΡΗΣΙΟ,213,3ο ΓΡ. Β' ΔΔΕ ΑΘΗΝΑΣ
551756,5ο ΓΕΛ ΝΕΑΣ ΙΩΝΙΑΣ,0,ΗΜΕΡΗΣΙΟ,213,3ο ΓΡ. Β' ΔΔΕ ΑΘΗΝΑΣ
551757,3ο ΓΕΛ ΝΕΑΣ ΙΩΝΙΑΣ,0,ΗΜΕΡΗΣΙΟ,213,3ο ΓΡ. Β' ΔΔΕ ΑΘΗΝΑΣ
551840,1ο ΓΕΛ   ΓΛΥΦΑΔΑΣ,0,ΗΜΕΡΗΣΙΟ,223,2ο ΓΡ. Δ' ΔΔΕ ΑΘΗΝΑΣ
551841,2ο ΓΕΛ   ΓΛΥΦΑΔΑΣ,0,ΗΜΕΡΗΣΙΟ,223,2ο ΓΡ. Δ' ΔΔΕ ΑΘΗΝΑΣ
551846,1ο ΓΕΛ   ΕΛΛΗΝΙΚΟΥ ,0,ΗΜΕΡΗΣΙΟ,223,2ο ΓΡ. Δ' ΔΔΕ ΑΘΗΝΑΣ
551877,3ο  ΓΕΛ  ΑΛΙΜΟΥ,0,ΗΜΕΡΗΣΙΟ,223,2ο ΓΡ. Δ' ΔΔΕ ΑΘΗΝΑΣ
551890,1ο  ΓΕΛ  ΑΛΙΜΟΥ,0,ΗΜΕΡΗΣΙΟ,223,2ο ΓΡ. Δ' ΔΔΕ ΑΘΗΝΑΣ
551891,4ο  ΓΕΛ  ΑΛΙΜΟΥ,0,ΗΜΕΡΗΣΙΟ,223,2ο ΓΡ. Δ' ΔΔΕ ΑΘΗΝΑΣ
551896,5ο ΓΕΛ   ΓΛΥΦΑΔΑΣ,0,ΗΜΕΡΗΣΙΟ,223,2ο ΓΡ. Δ' ΔΔΕ ΑΘΗΝΑΣ
551897,2ΟΝ ΛΥΚ ΔΙΑΠΟΛ/ΚΗΣ ΕΚΠ ΕΛΛΗΝΙΚΟΥ,0,ΗΜΕΡΗΣΙΟ,221,Δ' ΔΔΕ ΑΘΗΝΑΣ
551898,2ο  ΓΕΛ  ΑΛΙΜΟΥ,0,ΗΜΕΡΗΣΙΟ,221,Δ' ΔΔΕ ΑΘΗΝΑΣ
