"ΚΩΔΙΚΟΣ (ΛΥΚ)","ΛΥΚΕΙΟ","ΤΥΠΟΣ","ΤΥΠΟΣ","ΚΩΔΙΚΟΣ (ΔΔΕ)","ΔΔΕ","Δ-ΝΣΗ (ΛΥΚ)","ΠΟΛΗ (ΛΥΚ)","ΤΚ (ΛΥΚ)"
551162,"1ο ΓΕΛ ΥΜΗΤΤΟΥ",0,"ΗΜΕΡΗΣΙΟ ",0,"NoDDE",,,
551164,"3ο ΓΕΛ ΥΜΗΤΤΟΥ ",0,"ΗΜΕΡΗΣΙΟ ",0,"NoDDE",,,
551490,"1ο ΓΕΛ ΒΥΡΩΝΑ ",0,"ΗΜΕΡΗΣΙΟ ",0,"NoDDE",,,
551630,"1ο ΓΕΛ ΚΑΙΣΑΡΙΑΝΗΣ ",0,"ΗΜΕΡΗΣΙΟ ",0,"NoDDE",,,
551637," 2ο ΓΕΛ ΚΑΙΣΑΡΙΑΝΗΣ",0,"ΗΜΕΡΗΣΙΟ ",0,"NoDDE",,,
551506,"ΓΕΛ ΚΑΡΕΑ ",0,"ΗΜΕΡΗΣΙΟ ",0,"NoDDE",,,
551627,"3ο ΓΕΛ ΗΛΙΟΥΠΟΛΗΣ ",0,"ΗΜΕΡΗΣΙΟ ",0,"NoDDE",,,
"551012","5ο ΓΕΛ ΗΛΙΟΥΠΟΛΗΣ ",0,"ΗΜΕΡΗΣΙΟ ",0,"NoDDE",,,
551501,"3ο ΓΕΛ ΒΥΡΩΝΑ ",0,"ΗΜΕΡΗΣΙΟ ",0,"NoDDE",,,
551503,"5ο ΓΕΛ ΒΥΡΩΝΑ ",0,"ΗΜΕΡΗΣΙΟ ",0,"NoDDE",,,
"551520","2ο ΓΕΛ ΔΑΦΝΗΣ ",0,"ΗΜΕΡΗΣΙΟ ",0,"NoDDE",,,
551525,"3ο ΓΕΛ ΔΑΦΝΗΣ ",0,"ΗΜΕΡΗΣΙΟ ",0,"NoDDE",,,
551361,"43ο ΓΕΛ ΑΘΗΝΩΝ  ",0,"ΗΜΕΡΗΣΙΟ ",0,"NoDDE",,,
"551610","1ο ΓΕΛ ΗΛΙΟΥΠΟΛΗΣ ",0,"ΗΜΕΡΗΣΙΟ ",0,"NoDDE",,,
551628,"4ο ΓΕΛ ΗΛΙΟΥΠΟΛΗΣ ",0,"ΗΜΕΡΗΣΙΟ ",0,"NoDDE",,,
551620,"2ο ΓΕΛ ΗΛΙΟΥΠΟΛΗΣ ",0,"ΗΜΕΡΗΣΙΟ ",0,"NoDDE",,,
"100001","ΙΔΙΩΤΙΚΟ ΣΥΓΧΡΟΝΗ ΠΑΙΔΕΙΑ",0,"ΗΜΕΡΗΣΙΟ ",0,"NoDDE",,,
"100002","ΙΔΙΩΤΙΚΟ ΘΕΟΜΗΤΩΡ",0,"ΗΜΕΡΗΣΙΟ ",0,"NoDDE",,,
